Time [s],Packet ID,MOSI,MISO
0.0035758000,0,0xFF,0x00
0.0035868500,0,0xFF,0x00
0.0035978500,0,0xFF,0x00
0.0036088500,0,0xFF,0x00
0.0036199000,0,0xFF,0x00
0.0036309000,0,0xFF,0x00
0.0036419500,0,0xFF,0x00
0.0036529500,0,0xFF,0x00
0.0036639500,0,0xFF,0x00
0.0036750000,0,0xFF,0x00
0.0036860000,0,0xFF,0x00
0.0036970500,0,0xFF,0x00
0.0037080500,0,0xFF,0x00
0.0037190500,0,0xFF,0x00
0.0037301000,0,0xFF,0x00
0.0037411000,0,0xFF,0x00
0.0037521500,0,0xFF,0x00
0.0037631500,0,0xFF,0x00
0.0037742000,0,0xFF,0x00
0.0037852500,0,0xFF,0x00
0.0037962500,0,0xFF,0x00
0.0038073000,0,0xFF,0x00
0.0038183000,0,0xFF,0x00
0.0038293500,0,0xFF,0x00
0.0038403500,0,0xFF,0x00
0.0038514000,0,0xFF,0x00
0.0038624000,0,0xFF,0x00
0.0038734500,0,0xFF,0x00
0.0038845000,0,0xFF,0x00
0.0038955000,0,0xFF,0x00
0.0039065500,0,0xFF,0x00
0.0039175500,0,0xFF,0x00
0.0039286000,0,0xFF,0x00
0.0039396000,0,0xFF,0x00
0.0039506500,0,0xFF,0x00
0.0039616500,0,0xFF,0x00
0.0039727000,0,0xFF,0x00
0.0039837000,0,0xFF,0x00
0.0039947500,0,0xFF,0x00
0.0040057500,0,0xFF,0x00
0.0040168000,0,0xFF,0x00
0.0040278500,0,0xFF,0x00
0.0040388500,0,0xFF,0x00
0.0040499000,0,0xFF,0x00
0.0040609000,0,0xFF,0x00
0.0040719500,0,0xFF,0x00
0.0040830000,0,0xFF,0x00
0.0040940000,0,0xFF,0x00
0.0041050500,0,0xFF,0x00
0.0041160500,0,0xFF,0x00
0.0041271000,0,0xFF,0x00
0.0041381500,0,0xFF,0x00
0.0041491500,0,0xFF,0x00
0.0041602000,0,0xFF,0x00
0.0041712500,0,0xFF,0x00
0.0041822500,0,0xFF,0x00
0.0041933000,0,0xFF,0x00
0.0042043000,0,0xFF,0x00
0.0042153500,0,0xFF,0x00
0.0042264000,0,0xFF,0x00
0.0042374000,0,0xFF,0x00
0.0042484500,0,0xFF,0x00
0.0042595000,0,0xFF,0x00
0.0042705000,0,0xFF,0x00
0.0042815500,0,0xFF,0x00
0.0042926000,0,0xFF,0x00
0.0043036000,0,0xFF,0x00
0.0043146500,0,0xFF,0x00
0.0043256500,0,0xFF,0x00
0.0043367000,0,0xFF,0x00
0.0043477500,0,0xFF,0x00
0.0043587500,0,0xFF,0x00
0.0043698000,0,0xFF,0x00
0.0043808000,0,0xFF,0x00
0.0043918500,0,0xFF,0x00
0.0044029000,0,0xFF,0x00
0.0044139000,0,0xFF,0x00
0.0044249500,0,0xFF,0x00
0.0044360000,0,0xFF,0x00
0.0044470500,0,0xFF,0x00
0.0044580500,0,0xFF,0x00
0.0044691000,0,0xFF,0x00
0.0044801000,0,0xFF,0x00
0.0044911500,0,0xFF,0x00
0.0045021500,0,0xFF,0x00
0.0045132000,0,0xFF,0x00
0.0045242500,0,0xFF,0x00
0.0045352500,0,0xFF,0x00
0.0045463000,0,0xFF,0x00
0.0045573000,0,0xFF,0x00
0.0045683500,0,0xFF,0x00
0.0045794000,0,0xFF,0x00
0.0045904000,0,0xFF,0x00
0.0046014500,0,0xFF,0x00
0.0046124500,0,0xFF,0x00
0.0046235000,0,0xFF,0x00
0.0046345500,0,0xFF,0x00
0.0046455500,0,0xFF,0x00
0.0046566000,0,0xFF,0x00
0.0046676000,0,0xFF,0x00
0.0046786500,0,0xFF,0x00
0.0046897000,0,0xFF,0x00
0.0047007000,0,0xFF,0x00
0.0047117500,0,0xFF,0x00
0.0047228000,0,0xFF,0x00
0.0047338000,0,0xFF,0x00
0.0047448500,0,0xFF,0x00
0.0047558500,0,0xFF,0x00
0.0047669000,0,0xFF,0x00
0.0047779000,0,0xFF,0x00
0.0047889500,0,0xFF,0x00
0.0047999500,0,0xFF,0x00
0.0048110000,0,0xFF,0x00
0.0048220500,0,0xFF,0x00
0.0048330500,0,0xFF,0x00
0.0048441000,0,0xFF,0x00
0.0048551000,0,0xFF,0x00
0.0048661500,0,0xFF,0x00
0.0048772000,0,0xFF,0x00
0.0048882000,0,0xFF,0x00
0.0048992500,0,0xFF,0x00
0.0049102500,0,0xFF,0x00
0.0049213000,0,0xFF,0x00
0.0049323500,0,0xFF,0x00
0.0049433500,0,0xFF,0x00
0.0049544000,0,0xFF,0x00
0.0049654000,0,0xFF,0x00
0.0049766000,0,0xFF,0x00
0.0049876000,0,0xFF,0x00
0.0049986500,0,0xFF,0x00
0.0050096500,0,0xFF,0x00
0.0050207000,0,0xFF,0x00
0.0050317500,0,0xFF,0x00
0.0050427500,0,0xFF,0x00
0.0050538000,0,0xFF,0x00
0.0050648500,0,0xFF,0x00
